Title,Album,Date,BPM,Objective Rating
Honeymoon Avenue,Yours Truly,2013,125,5
Baby I,Yours Truly,2013,102,7
Right There,Yours Truly,2013,156,4
Tattooed Heart,Yours Truly,2013,72,5
Lovin' It,Yours Truly,2013,94,6
Piano,Yours Truly,2013,120,3
Daydreamin',Yours Truly,2013,114,6
The Way,Yours Truly,2013,82,5
You'll Never Know,Yours Truly,2013,105,4
Almost Is Never Enough,Yours Truly,2013,81,7
Popular Song,Yours Truly,2013,99,2
Better Left Unsaid,Yours Truly,2013,130,6
Intro,My Everything,2014,90,3
Problem,My Everything,2014,103,4
One Last Time,My Everything,2014,125,8
Why Try,My Everything,2014,160,7
Break Free,My Everything,2014,130,6
Best Mistake,My Everything,2014,144,5
Be My Baby,My Everything,2014,145,7
Break Your Heart Right Back,My Everything,2014,94,4
Love Me Harder,My Everything,2014,99,7
Just A Little Bit Of Your Heart,My Everything,2014,78,3
Hands On Me,My Everything,2014,98,2
My Everything,My Everything,2014,62,6
Bang Bang,My Everything,2014,150,1
Only 1,My Everything,2014,101,10
You Don't Know Me,My Everything,2014,170,8
Moonlight,Dangerous Woman,2016,102,4
Dangerous Woman,Dangerous Woman,2016,134,7
Be Alright,Dangerous Woman,2016,109,6
Into You,Dangerous Woman,2016,108,7
Side To Side,Dangerous Woman,2016,159,4
Let Me Love You,Dangerous Woman,2016,103,7
Greedy,Dangerous Woman,2016,110,8
Leave Me Lonely,Dangerous Woman,2016,91,6
Everyday,Dangerous Woman,2016,131,2
Sometimes,Dangerous Woman,2016,78,9
I Don't Care,Dangerous Woman,2016,112,7
Bad Decisions,Dangerous Woman,2016,132,7
Touch It,Dangerous Woman,2016,101,8
Knew Better / Forever Boy,Dangerous Woman,2016,107,3
Thinking Bout You,Dangerous Woman,2016,103,7
Step On Up,Dangerous Woman,2016,111,1
Jason's Song (Gave It Away),Dangerous Woman,2016,106,3
raindrops (an angel cried),Sweetener,2018,169,6
blazed (ft. Pharrell Williams),Sweetener,2018,110,5
the light is coming (ft. Nicki Minaj),Sweetener,2018,99,3
R.E.M.,Sweetener,2018,80,7
God is a woman,Sweetener,2018,145,5
sweetener,Sweetener,2018,120,2
successful,Sweetener,2018,114,6
everytime,Sweetener,2018,148,7
breathin,Sweetener,2018,100,7
no tears left to cry,Sweetener,2018,122,8
borderline (ft. Missy Elliott),Sweetener,2018,111,5
better off,Sweetener,2018,111,5
goodnight n go,Sweetener,2018,111,3
pete davidson,Sweetener,2018,120,6
get well soon,Sweetener,2018,100,7
imagine,"thank u, next",2019,63,7
needy,"thank u, next",2019,87,6
NASA,"thank u, next",2019,75,6
bloodline,"thank u, next",2019,152,5
fake smile,"thank u, next",2019,83,6
bad idea,"thank u, next",2019,138,8
make up,"thank u, next",2019,90,6
ghostin,"thank u, next",2019,117,5
in my head,"thank u, next",2019,172,4
7 rings,"thank u, next",2019,140,5
"thank u, next","thank u, next",2019,107,6
"break up with your girlfriend, i'm bored","thank u, next",2019,170,8
shut up,Positions,2020,128,7
34+35,Positions,2020,110,7
motive (with Doja Cat),Positions,2020,117,7
just like magic,Positions,2020,128,8
off the table (with the Weeknd),Positions,2020,88,5
six thirty,Positions,2020,120,6
safety net (ft. Ty Dolla $ign),Positions,2020,162,7
my hair,Positions,2020,92,7
nasty,Positions,2020,128,8
west side,Positions,2020,88,8
love language,Positions,2020,110,6
positions,Positions,2020,144,8
obvious,Positions,2020,160,7
pov,Positions,2020,132,6
test drive,Positions (Deluxe),2021,115,7
worst behavior,Positions (Deluxe),2021,134,6
main thing,Positions (Deluxe),2021,134,4
boyfriend,boyfriend,2019,95,8
MONOPOLY,MONOPOLY,2019,144,9
Put Your Hearts Up,Put Your Hearts Up,2011,162,4
Don't Call Me Angel,Charlie's Angels,2019,103,5
